Serial Number,Project Name,Category/Company,Amount/Value,PDF Link,PDF Filename
615,Mosquito Repellent Moulds,Samadhan Projects,1752000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MosquitoRepellentMoulds.pdf,MosquitoRepellentMoulds.pdf
616,Motor Starter Panel,Samadhan Projects,2978000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MotorStarterPanel.pdf,MotorStarterPanel.pdf
617,Moulded Plastic Lunch Box,Samadhan Projects,4722000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MouldedPlasticLunchBox.pdf,MouldedPlasticLunchBox.pdf
618,Mouse Pad,Samadhan Projects,2484000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MousePad.pdf,MousePad.pdf
619,Mouth Freshner,Samadhan Projects,1247000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MouthFreshner.pdf,MouthFreshner.pdf
620,Muffins,Samadhan Projects,2291000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Muffins.pdf,Muffins.pdf
621,Multani Mud,Samadhan Projects,1808000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MultaniMud.pdf,MultaniMud.pdf
622,Multi Fruit Juice & Squash,Samadhan Projects,2480000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MultiFruitJuiceSquash.pdf,MultiFruitJuiceSquash.pdf
623,Multigrain Pasta,Samadhan Projects,1565000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MultigrainPasta.pdf,MultigrainPasta.pdf
624,Mushroom Processing,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MushroomProcessing.pdf,MushroomProcessing.pdf
625,Mussels_DPR,Samadhan Projects,1578000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MusselsDPR.pdf,MusselsDPR.pdf
626,NAMKEEN/FARSAN MANUFACTURING SCHEME,AGRO BASED FOOD PROCESSING INDUSTRY,380000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NAMKEENFARSAN MANUFACTURING SCHEME.pdf,NAMKEENFARSAN MANUFACTURING SCHEME.pdf
627,NAPHTHALENE BALLS,POLYMER AND CHEMICAL BASED INDUSTRY,130610,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON NAPHTHALENE BALLS.pdf,PROJECT PROFILE ON NAPHTHALENE BALLS.pdf
628,NATURAL MINERAL WATER,AGRO BASED FOOD PROCESSING INDUSTRY,1110000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NATURAL MINERAL WATER.pdf,NATURAL MINERAL WATER.pdf
