Serial Number,Project Name,Category/Company,Amount/Value,PDF Link,PDF Filename
1,3 Ply Mask,Samadhan Projects,1805000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/3PlyMask.pdf,3PlyMask.pdf
2,4T Oil Blending Plant,Samadhan Projects,6891000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/4TLubricantsOilChemical.pdf,4TLubricantsOilChemical.pdf
3,ADD-ON CARDS FOR COMPUTER,SERVICE AND TEXTILE INDUSTRY,450000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ADDONCARDSFORCOMPUTER.pdf,ADDONCARDSFORCOMPUTER.pdf
4,AIR CONDITIONER (SPLIT TYPES),RURAL ENGG. AND BIO-TECH INDUSTRY,1016000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON AIR CONDITIONER (SPLIT TYPES).pdf,PROJECT PROFILE ON AIR CONDITIONER (SPLIT TYPES).pdf
5,ALOE VERA GEL,POLYMER AND CHEMICAL BASED INDUSTRY,1860000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON  ALOE VERA GEL.pdf,PROJECT PROFILE ON  ALOE VERA GEL.pdf
6,ALTERNATORS FOR AUTOMOBILES,RURAL ENGG. AND BIO-TECH INDUSTRY,1745000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ALTERNATORS FOR AUTOMOBILES.pdf,PROJECT PROFILE ON ALTERNATORS FOR AUTOMOBILES.pdf
7,ALUMINIUM CANS,RURAL ENGG. AND BIO-TECH INDUSTRY,1500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ALUMINIUM CANS.pdf,PROJECT PROFILE ON ALUMINIUM CANS.pdf
8,ALUMINIUM FABRICATION,RURAL ENGG. AND BIO-TECH INDUSTRY,265000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ALUMINIUM FABRICATION.pdf,PROJECT PROFILE ON ALUMINIUM FABRICATION.pdf
9,ALUMINIUM FURNITURE,RURAL ENGG. AND BIO-TECH INDUSTRY,400000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ALUMINIUM FURNITURE.pdf,PROJECT PROFILE ON ALUMINIUM FURNITURE.pdf
10,ALUMINIUM UTENSIL UNIT,RURAL ENGG. AND BIO-TECH INDUSTRY,1856000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ALUMINIUM UTENSIL UNIT.pdf,ALUMINIUM UTENSIL UNIT.pdf
11,ALUMINIUM VENETIAN SCHEME,RURAL ENGG. AND BIO-TECH INDUSTRY,705200,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ALUMINIUM VENETIAN SCHEME.pdf,ALUMINIUM VENETIAN SCHEME.pdf
12,AMMONIA (BLUE) PRINT,SERVICE AND TEXTILE INDUSTRY,207000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON AMMONIA (BLUE) PRINT.pdf,PROJECT PROFILE ON AMMONIA (BLUE) PRINT.pdf
13,ASSEMBLING OF DISPLAY MONITOR,SERVICE AND TEXTILE INDUSTRY,405520,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ASSEMBLING OF  DISPLAY MONITOR.pdf,ASSEMBLING OF  DISPLAY MONITOR.pdf
14,ASSEMBLING OF ELECTRONIC GAS LIGHTERS,RURAL ENGG. AND BIO-TECH INDUSTRY,309000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ASSEMBLING OF ELECTRONIC GAS LIGHTERS.pdf,PROJECT PROFILE ON ASSEMBLING OF ELECTRONIC GAS LIGHTERS.pdf
15,ASSEMBLY OF BEVERAGE VENDING MACHINE,RURAL ENGG. AND BIO-TECH INDUSTRY,1656000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ASSEMBLY OF BEVERAGE VENDING MACHINE.pdf,PROJECT PROFILE ON ASSEMBLY OF BEVERAGE VENDING MACHINE.pdf
16,ASSEMBLY OF DIESEL GENERATOR SET,RURAL ENGG. AND BIO-TECH INDUSTRY,385420,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ASSEMBLY OF DIESEL GENERATOR SET.pdf,ASSEMBLY OF DIESEL GENERATOR SET.pdf
17,ASSEMBLY OF HOME SECURITY SYSTEM,RURAL ENGG. AND BIO-TECH INDUSTRY,2193000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ASSEMBLY OF HOME SECURITY SYSTEM.pdf,PROJECT PROFILE ON ASSEMBLY OF HOME SECURITY SYSTEM.pdf
18,AUTO GARRAGE,SERVICE AND TEXTILE INDUSTRY,660000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AUTO GARRAGE.pdf,AUTO GARRAGE.pdf
19,AUTOMATIC CURTAIN OPENER,RURAL ENGG. AND BIO-TECH INDUSTRY,745300,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AUTOMATIC CURTAIN OPENER.pdf,AUTOMATIC CURTAIN OPENER.pdf
20,AUTOMOBILE SILENCER,RURAL ENGG. AND BIO-TECH INDUSTRY,1200000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON AUTOMOBILE SILENCER.pdf,PROJECT PROFILE ON AUTOMOBILE SILENCER.pdf
21,Acetylene Gas,Samadhan Projects,2094000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AcetyleneGas.pdf,AcetyleneGas.pdf
22,Acrylic Paints(Chemical),Samadhan Projects,2156000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AcrylicPaintsChemical.pdf,AcrylicPaintsChemical.pdf
23,Acrylic Signage Board,Samadhan Projects,2111000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AcrylicSignageBoard.pdf,AcrylicSignageBoard.pdf
24,Adhesive Tapes,Samadhan Projects,1350000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AdhesiveTapes.pdf,AdhesiveTapes.pdf
25,Adjustable hospital beds,Samadhan Projects,1293000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Adjustablehospitalbeds.pdf,Adjustablehospitalbeds.pdf
26,Aerosol,Samadhan Projects,2256000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Aerosol.pdf,Aerosol.pdf
27,Agarbatti,Samadhan Projects,757000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Agarbatti.pdf,Agarbatti.pdf
28,Air Bubble Sheet,Samadhan Projects,6606000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirBubbleSheet.pdf,AirBubbleSheet.pdf
29,Air Cooler,Samadhan Projects,2044000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirCooler.pdf,AirCooler.pdf
30,Air Filter,Samadhan Projects,2580000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirFilter.pdf,AirFilter.pdf
31,Air Freshner,Samadhan Projects,2156000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirFreshner.pdf,AirFreshner.pdf
32,Air Springs,Samadhan Projects,2407000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirSprings.pdf,AirSprings.pdf
33,Air-Pollution Mask,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirPollutionMask.pdf,AirPollutionMask.pdf
34,Alkyd Resin,Samadhan Projects,3665000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AlkydResin.pdf,AlkydResin.pdf
35,All Purpose cream,Samadhan Projects,1495000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AllPurposecream.pdf,AllPurposecream.pdf
36,Allen Screws,Samadhan Projects,2315000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AllenScrews.pdf,AllenScrews.pdf
37,Almond Cream,Samadhan Projects,1701000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AlmondCream.pdf,AlmondCream.pdf
38,Aloevera Juice,Samadhan Projects,2656000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AloeveraJuice.pdf,AloeveraJuice.pdf
39,Alovera Gel mfg.,Samadhan Projects,2483000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AloveraGelmfg.pdf,AloveraGelmfg.pdf
40,Alum,Samadhan Projects,2389000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Alum.pdf,Alum.pdf
41,Alum (Phitkari) Manufacturing,Samadhan Projects,2406000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AlumPhitkariManufacturing.pdf,AlumPhitkariManufacturing.pdf
42,Aluminium Castings Project,Samadhan Projects,1787000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AluminiumCastingsProject.pdf,AluminiumCastingsProject.pdf
43,Aluminium Fabrictaion,Samadhan Projects,1756000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AluminiumFabrictaion.pdf,AluminiumFabrictaion.pdf
44,Aluminium Foil Rewinding,Samadhan Projects,1249000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ALuminiumFoilRewinding.pdf,ALuminiumFoilRewinding.pdf
45,Aluminium Powder,Samadhan Projects,2122000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AluminiumPowder.pdf,AluminiumPowder.pdf
46,Aluminium Utensils,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AluminiumUtensils.pdf,AluminiumUtensils.pdf
47,Aluminum Foil Container,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AluminumFoilContainer.pdf,AluminumFoilContainer.pdf
48,Amaranthus_DPR,Samadhan Projects,1904000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AmaranthusDPR.pdf,AmaranthusDPR.pdf
49,Amla Processing,Samadhan Projects,5216000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AmlaProcessing.pdf,AmlaProcessing.pdf
50,Amranthus,Samadhan Projects,2354000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Amranthus.pdf,Amranthus.pdf
51,Amranthus Processing,Samadhan Projects,2403000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AmranthusProcessing.pdf,AmranthusProcessing.pdf
52,Anchor(Hook) (Small),Samadhan Projects,2244000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AnchorHookSmall.pdf,AnchorHookSmall.pdf
53,Animal Feed final,Samadhan Projects,2335000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AnimalFeedfinal.pdf,AnimalFeedfinal.pdf
54,Animation Production Unit,Samadhan Projects,944000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AnimationProductionUnit.pdf,AnimationProductionUnit.pdf
55,Anola (Amla) Juice,Samadhan Projects,2394000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AnolaAmlaJuice.pdf,AnolaAmlaJuice.pdf
56,Anti-corrosive paints,Samadhan Projects,2322000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AntiCorrosivePaints.pdf,AntiCorrosivePaints.pdf
57,Antistatic Conning Oil,Samadhan Projects,987000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AntistaticConningOil.pdf,AntistaticConningOil.pdf
58,Apricot Oil Processing Unit,Samadhan Projects,1079000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ApricotOilProcessingUnit.pdf,ApricotOilProcessingUnit.pdf
59,Area Nut Plam Leaf Crockery,Samadhan Projects,2370000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ArecaLeafCutlery.pdf,ArecaLeafCutlery.pdf
60,Areca Leaf Plates,Samadhan Projects,1417000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ArecaLeafPlates.pdf,ArecaLeafPlates.pdf
61,Areca Leaf Plates,Samadhan Projects,870000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ArecaLeafPlates.pdf,ArecaLeafPlates.pdf
62,Artificial Dentures and Allied Items,Samadhan Projects,2113000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ArtificialDenturesandAlliedItems.pdf,ArtificialDenturesandAlliedItems.pdf
63,Asafoetida Powder(Hing),Samadhan Projects,1856000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AsafoetidaPowderHing.pdf,AsafoetidaPowderHing.pdf
64,Audio Video & Magnetic DVD,Samadhan Projects,1972000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AudioVideoMagneticDVD.pdf,AudioVideoMagneticDVD.pdf
65,Auto Clutch Plate,Samadhan Projects,766000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutoClutchPlate.pdf,AutoClutchPlate.pdf
66,Auto Control Cables,Samadhan Projects,2468000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutoControlCables.pdf,AutoControlCables.pdf
67,Auto Lock,Samadhan Projects,1667000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutoLock.pdf,AutoLock.pdf
68,Automatic Sanitiser Dispenser Machine,Samadhan Projects,1978000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutomaticSanitiserDispenserMachine.pdf,AutomaticSanitiserDispenserMachine.pdf
69,Automatic Voltage Stabilizer,Samadhan Projects,1071000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutomaticVoltageStabilizer.pdf,AutomaticVoltageStabilizer.pdf
70,Autombile Tyre Retreading,Samadhan Projects,2226000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutombileTyreRetreading.pdf,AutombileTyreRetreading.pdf
71,Automobile Control Cables,Samadhan Projects,1550000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutomobileControlCables.pdf,AutomobileControlCables.pdf
72,Automobile Gear,Samadhan Projects,2472000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutomobileGear.pdf,AutomobileGear.pdf
73,Automobile Piston,Samadhan Projects,2417000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutomobilePiston.pdf,AutomobilePiston.pdf
74,Automobile Silencer,Samadhan Projects,2025000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutomobileSilencer.pdf,AutomobileSilencer.pdf
75,Automobile Silencer,Samadhan Projects,8656000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutomobileSilencer.pdf,AutomobileSilencer.pdf
76,Automobile Spokes,Samadhan Projects,2467000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutomobileSpokes.pdf,AutomobileSpokes.pdf
77,Automotive Air Filter,Samadhan Projects,2178000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutomotiveAirFilter.pdf,AutomotiveAirFilter.pdf
78,Ayurvedic Oil,Samadhan Projects,1700000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AyurvedicOil.pdf,AyurvedicOil.pdf
79,BAKERY PRODUCTS,AGRO BASED FOOD PROCESSING INDUSTRY,1302000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BAKERY PRODUCTS.pdf,BAKERY PRODUCTS.pdf
80,BAKERY PRODUCTS BIG UNIT,AGRO BASED FOOD PROCESSING INDUSTRY,1965000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BAKERY PRODUCTS BIG UNIT.pdf,BAKERY PRODUCTS BIG UNIT.pdf
81,BAKERY PRODUCTS UNIT,AGRO BASED FOOD PROCESSING INDUSTRY,286000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BAKERY PRODUCTS UNIT.pdf,BAKERY PRODUCTS UNIT.pdf
82,BALL PEN INK,POLYMER AND CHEMICAL BASED INDUSTRY,945000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON BALL PEN INK.pdf,PROJECT PROFILE ON BALL PEN INK.pdf
83,BAMBOO ARTICLE MANUFACTURING UNIT,FOREST BASED INDUSTRY,195000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BAMBOO ARTICLE MANUFACTURING UNIT.pdf,BAMBOO ARTICLE MANUFACTURING UNIT.pdf
84,BANANA CHIPS,AGRO BASED FOOD PROCESSING INDUSTRY,455000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON BANANA CHIPS.pdf,PROJECT PROFILE ON BANANA CHIPS.pdf
85,BANANA CHIPS (BIG UNIT),AGRO BASED FOOD PROCESSING INDUSTRY,1250000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON BANANA CHIPS (BIG UNIT).pdf,PROJECT PROFILE ON BANANA CHIPS (BIG UNIT).pdf
86,BARBER SHOP,SERVICE AND TEXTILE INDUSTRY,93000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BARBER SHOP.pdf,BARBER SHOP.pdf
87,BATTERY WATER,RURAL ENGG. AND BIO-TECH INDUSTRY,470000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON BATTERY WATER.pdf,PROJECT PROFILE ON BATTERY WATER.pdf
88,BATTING GLOVES,POLYMER AND CHEMICAL BASED INDUSTRY,629000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON BATTING GLOVES.pdf,PROJECT PROFILE ON BATTING GLOVES.pdf
89,BEE - METALLURGICAL COKE,MINERAL BASED INDUSTRY,290000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON BEE - METALLURGICAL COKE.pdf,PROJECT PROFILE ON BEE - METALLURGICAL COKE.pdf
90,BEE BOX MANUFACTURING UNIT,RURAL ENGG. AND BIO-TECH INDUSTRY,209000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BEE BOX MANUFACTURING UNIT.pdf,BEE BOX MANUFACTURING UNIT.pdf
91,BELTING LEATHER,POLYMER AND CHEMICAL BASED INDUSTRY,2300000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON BELTING LEATHER.pdf,PROJECT PROFILE ON BELTING LEATHER.pdf
92,BESAN MANUFACTURING UNIT,AGRO BASED FOOD PROCESSING INDUSTRY,780000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BESAN MANUFACTURING UNIT.pdf,BESAN MANUFACTURING UNIT.pdf
93,BEVERAGE MANUFACTURING SCHEME,AGRO BASED FOOD PROCESSING INDUSTRY,888000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BEVERAGE MANUFACTURING SCHEME.pdf,BEVERAGE MANUFACTURING SCHEME.pdf
94,BINDI MANUFACTURING UNIT,POLYMER AND CHEMICAL BASED INDUSTRY,400000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BINDI MANUFACTURING UNIT.pdf,BINDI MANUFACTURING UNIT.pdf
95,BIO CNG,Samadhan Projects,2179000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BIOCNG.pdf,BIOCNG.pdf
96,BIO- DIGESTED SLURRY,RURAL ENGG. AND BIO-TECH INDUSTRY,2475000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON BIO- DIGESTED SLURRY.pdf,PROJECT PROFILE ON BIO- DIGESTED SLURRY.pdf
97,BLOW MOULDED PLASTIC CONTAINERS,POLYMER AND CHEMICAL BASED INDUSTRY,1927000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON BLOW MOULDED PLASTIC CONTAINERS.pdf,PROJECT PROFILE ON BLOW MOULDED PLASTIC CONTAINERS.pdf
98,BP Machine,Samadhan Projects,1029000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BPMachine.pdf,BPMachine.pdf
99,BP Machine,Samadhan Projects,820000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BPMachine.pdf,BPMachine.pdf
100,BRASS WATER TAPS & COCK,RURAL ENGG. AND BIO-TECH INDUSTRY,2135000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON BRASS WATER TAPS & COCK.pdf,PROJECT PROFILE ON BRASS WATER TAPS & COCK.pdf
101,"BRASS, COPPER & BELL METAL UTENSIL/UTILITY PRODUCTS",RURAL ENGG. AND BIO-TECH INDUSTRY,706000,"https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BRASS, COPPER & BELL METAL UTENSILUTILITY PRODUCTS.pdf","BRASS, COPPER & BELL METAL UTENSILUTILITY PRODUCTS.pdf"
103,BUBBLE PACKING PAPER,POLYMER AND CHEMICAL BASED INDUSTRY,1505000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BUBBLE PACKING PAPER.pdf,BUBBLE PACKING PAPER.pdf
104,BUBBLE PACKING PAPER,POLYMER AND CHEMICAL BASED INDUSTRY,1505000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BUBBLE PACKING PAPER.pdf,BUBBLE PACKING PAPER.pdf
105,BUS BODY BUILDING/LIGHT COMMERCIAL VEHICLE,RURAL ENGG. AND BIO-TECH INDUSTRY,1472000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON BUS BODY BUILDINGLIGHT  COMMERCIAL VEHICLE.pdf,PROJECT PROFILE ON BUS BODY BUILDINGLIGHT  COMMERCIAL VEHICLE.pdf
106,Baby Cereal Milk Food Project,Samadhan Projects,2167000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BabyCerealMilkFoodProject.pdf,BabyCerealMilkFoodProject.pdf
107,Baby Diaper,Samadhan Projects,2056000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BabyDiaper.pdf,BabyDiaper.pdf
108,Baby Garments,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Babygarments.pdf,Babygarments.pdf
110,Baby Walker,Samadhan Projects,2311000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BabyWalker.pdf,BabyWalker.pdf
111,Baby Walker,Samadhan Projects,2377000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BabyWalker.pdf,BabyWalker.pdf
112,Baheda Oil Processing Unit,Samadhan Projects,2398000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BahedaOilProcessingUnit.pdf,BahedaOilProcessingUnit.pdf
113,Bajra Cleaning unit Final,Samadhan Projects,2483000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BajraCleaningunitFinal.pdf,BajraCleaningunitFinal.pdf
114,Baked Beans,Samadhan Projects,2275000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BakedBeans.pdf,BakedBeans.pdf
116,Bamboo Chair DPR,Samadhan Projects,1422000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BambooChairDPR.pdf,BambooChairDPR.pdf
117,Bamboo Furniture,Samadhan Projects,1664000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BambooFurniture.pdf,BambooFurniture.pdf
118,Bamboo Pellets,Samadhan Projects,2007000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BambooPellets.pdf,BambooPellets.pdf
119,Bamboo Shoot Pickle Unit,Samadhan Projects,2487000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BambooShootPickleUnit.pdf,BambooShootPickleUnit.pdf
120,Bamboo Shoot Products,Samadhan Projects,2000000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BambooshootProducts.pdf,BambooshootProducts.pdf
121,Bamboo Sticks production Unit,Samadhan Projects,1777000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BambooSticksproductionUnit.pdf,BambooSticksproductionUnit.pdf
122,Bamboo Tree Guard,Samadhan Projects,1333000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BambooTreeGuard.pdf,BambooTreeGuard.pdf
123,Banana Chips Making,Samadhan Projects,1462000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BananaChipsMaking.pdf,BananaChipsMaking.pdf
124,Banana Cultivation,Samadhan Projects,1136000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BananaCultivation.pdf,BananaCultivation.pdf
125,Banana Fibre Craft_DPR,Samadhan Projects,1026000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BananaFibreCraftDPR.pdf,BananaFibreCraftDPR.pdf
126,Banana Paper,Samadhan Projects,1647000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BananaPaper.pdf,BananaPaper.pdf
127,Banana Powder,Samadhan Projects,2118000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BananaPowder.pdf,BananaPowder.pdf
128,Banana Ripening,Samadhan Projects,4801000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BananaRipening.pdf,BananaRipening.pdf
129,Banana Silk Fabric,Samadhan Projects,1075000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BananaSilkFabric.pdf,BananaSilkFabric.pdf
130,Banana Silk Fabric,Samadhan Projects,1075000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BananaSilkFabric.pdf,BananaSilkFabric.pdf
131,Bandage Making,Samadhan Projects,2278000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BandageMaking.pdf,BandageMaking.pdf
132,Barbed Wire,Samadhan Projects,2400000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/barbedwire.pdf,barbedwire.pdf
133,Barbeque Tandoori Grill,Samadhan Projects,2307000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BarbequeTandooriGrill.pdf,BarbequeTandooriGrill.pdf
